Tree Species,Common Name,Diameter at Breast Height (in Feet),Number of Trunks,Location Type,Location
Acer rubrum,"maple, red",16,1,Street,"(40.10821284880, -88.29868449480)"
stump,stump,17,1,Street,"(40.10820850090, -88.29855733110)"
Liquidambar styraciflua,"sweetgum, American",17,1,Street,"(40.10820561450, -88.29845258250)"
Acer platanoides,"maple, Norway",15,1,Street,"(40.10820843610, -88.29834225380)"
Acer saccharinum,"maple, silver",18,3,Street,"(40.10622597700, -88.30170511440)"
Liriodendron tulipifera,tuliptree,20,1,Street,"(40.10813071510, -88.29768959030)"
Acer saccharinum,"maple, silver",27,1,Street,"(40.10760243970, -88.29829955630)"
Acer platanoides,"maple, Norway",15,1,Street,"(40.10762732860, -88.30032424240)"
Acer saccharinum,"maple, silver",20,1,Street,"(40.10762736260, -88.30044347060)"
vacant site large,"vacant site, large",0,0,Street,"(40.12033573390, -88.22902137980)"
vacant site large,"vacant site, large",0,0,Street,"(40.12033489360, -88.22921625810)"
vacant site large,"vacant site, large",0,0,Street,"(40.12030500410, -88.22946610360)"
vacant site large,"vacant site, large",0,0,Street,"(40.12030220590, -88.22971329750)"
Acer platanoides,"maple, Norway",14,1,Street,"(40.10750408030, -88.29921253220)"
Acer saccharinum,"maple, silver",14,1,Street,"(40.10750235360, -88.29912862650)"
Cornus florida,"dogwood, flowering",6,1,Street,"(40.10749381960, -88.29895420400)"
Acer platanoides,"maple, Norway",11,1,Street,"(40.10749370160, -88.29855898210)"
Quercus macrocarpa,"oak, bur",14,1,Street,"(40.10749874950, -88.29845741230)"
Acer saccharum,"maple, sugar",19,1,Street,"(40.10749190570, -88.29824763180)"
Acer saccharum,"maple, sugar",17,1,Street,"(40.10747999120, -88.29806438080)"
vacant site large,"vacant site, large",0,0,Street,"(40.12084502380, -88.23039129390)"
Liquidambar styraciflua,"sweetgum, American",16,1,Street,"(40.10625773890, -88.29854856480)"
Liquidambar styraciflua,"sweetgum, American",15,1,Street,"(40.10634418050, -88.29854190700)"
Liquidambar styraciflua,"sweetgum, American",17,1,Street,"(40.10689880020, -88.29917751340)"
vacant site large,"vacant site, large",0,0,Street,"(40.12114892330, -88.23000890800)"
vacant site large,"vacant site, large",0,0,Street,"(40.12115063970, -88.22968715790)"
vacant site large,"vacant site, large",0,0,Street,"(40.12115007150, -88.22905414090)"
Acer negundo,boxelder,18,1,Street,"(40.10938053570, -88.28887361760)"
Picea abies,"spruce, Norway",18,1,Street,"(40.10938132520, -88.28914350520)"
Quercus bicolor,"oak, swamp white",8,1,Street,"(40.10690393830, -88.29938064350)"
Liquidambar styraciflua,"sweetgum, American",17,1,Street,"(40.10691261750, -88.30005849900)"
Acer rubrum,"maple, red",25,1,Street,"(40.10691094530, -88.30016228270)"
Acer saccharinum,"maple, silver",16,1,Street,"(40.10691267750, -88.30026828120)"
Acer saccharinum,"maple, silver",19,1,Street,"(40.10691957070, -88.30066571310)"
Acer saccharinum,"maple, silver",21,1,Street,"(40.10692128760, -88.30071869410)"
Liriodendron tulipifera,tuliptree,22,1,Street,"(40.10693148240, -88.30085339600)"
vacant site large,"vacant site, large",0,0,Street,"(40.12153432630, -88.23039876470)"
Acer saccharum,"maple, sugar",13,1,Street,"(40.10705027280, -88.30118231370)"
Liquidambar styraciflua,"sweetgum, American",24,1,Street,"(40.10728606880, -88.30174745240)"
Quercus bicolor,"oak, swamp white",4,1,Street,"(40.10729289250, -88.30190643130)"
Tilia cordata,"linden, littleleaf",20,1,Street,"(40.10703992370, -88.30138033940)"
Sorbus aucuparia,"mountainash, European",8,1,Street,"(40.10685260110, -88.30099875800)"
Fraxinus pennsylvanica,"ash, green",9,1,Street,"(40.10679527440, -88.29980930610)"
vacant site large,"vacant site, large",0,0,Street,"(40.12184559450, -88.23039958250)"
Quercus macrocarpa,"oak, bur",3,1,Street,"(40.09019166500, -88.25337095790)"
Acer platanoides,"maple, Norway",10,1,Street,"(40.10679198620, -88.29973512620)"
Acer saccharinum,"maple, silver",22,1,Street,"(40.10679195850, -88.29963970900)"
Liquidambar styraciflua,"sweetgum, American",14,1,Street,"(40.10678692550, -88.29913931670)"
Liquidambar styraciflua,"sweetgum, American",15,1,Street,"(40.10675921720, -88.29901213160)"
Liquidambar styraciflua,"sweetgum, American",19,1,Street,"(40.10669894980, -88.29887856370)"
Liquidambar styraciflua,"sweetgum, American",20,1,Street,"(40.10659633140, -88.29876625310)"
Liquidambar styraciflua,"sweetgum, American",19,1,Street,"(40.10645954970, -88.29869846890)"
Quercus muehlenbergii,"oak, chinkapin",3,1,Street,"(40.09166902510, -88.25447970450)"
Acer saccharinum,"maple, silver",11,1,Street,"(40.10628372390, -88.29869430380)"
Quercus robur,"oak, English",34,1,Street,"(40.10619780320, -88.29991352420)"
Liquidambar styraciflua,"sweetgum, American",24,1,Street,"(40.10620111200, -88.30015522720)"
Acer rubrum,"maple, red",11,1,Street,"(40.10620618700, -88.30082095840)"
Acer saccharinum,"maple, silver",20,1,Street,"(40.10621779520, -88.30149944930)"
vacant site large,"vacant site, large",0,0,Street,"(40.12197612060, -88.23039548810)"
vacant site large,"vacant site, large",0,0,Street,"(40.12199834640, -88.23053930940)"
vacant site large,"vacant site, large",0,0,Street,"(40.12186781920, -88.23054211630)"
Acer saccharinum,"maple, silver",22,1,Street,"(40.10621616210, -88.30155032210)"
Tilia cordata,"linden, littleleaf",13,1,Street,"(40.10623444200, -88.30286912590)"
Fraxinus pennsylvanica,"ash, green",15,1,Street,"(40.10623938450, -88.30308326530)"
Acer saccharinum,"maple, silver",19,1,Street,"(40.10623941040, -88.30318290020)"
Quercus bicolor,"oak, swamp white",10,1,Street,"(40.10624277880, -88.30368328950)"
Quercus bicolor,"oak, swamp white",11,1,Street,"(40.10624608020, -88.30381899460)"
Pyrus communis,"pear, common",6,1,Street,"(40.10629656770, -88.30394617090)"
Acer saccharum,"maple, sugar",18,1,Street,"(40.10717128800, -88.29625732430)"
Acer rubrum,"maple, red",19,1,Street,"(40.10598678630, -88.30217801530)"
Acer saccharum,"maple, sugar",15,1,Street,"(40.10590370830, -88.30203601970)"
Populus deltoides,"cottonwood, eastern",14,1,Street,"(40.10609556620, -88.30074890370)"
Acer saccharinum,"maple, silver",17,1,Street,"(40.10609554290, -88.30066632170)"
Liriodendron tulipifera,tuliptree,21,1,Street,"(40.10608477570, -88.29996992110)"
vacant site large,"vacant site, large",0,0,Street,"(40.12175235560, -88.23053706950)"
vacant site large,"vacant site, large",0,0,Street,"(40.12155956710, -88.23053735990)"
vacant site large,"vacant site, large",0,0,Street,"(40.12140293050, -88.23053627270)"
Liriodendron tulipifera,tuliptree,19,1,Street,"(40.10607839640, -88.29983782880)"
Quercus palustris,"oak, pin",26,1,Street,"(40.10607187440, -88.29921846720)"
Acer platanoides,"maple, Norway",11,1,Street,"(40.10607387480, -88.29883587210)"
Acer platanoides,"maple, Norway",11,1,Street,"(40.10583078230, -88.29870111150)"
Acer rubrum,"maple, red",15,1,Street,"(40.10600615050, -88.29855237510)"
Prunus spp.,"cherry/plum, spp.",21,1,Street,"(40.10606314250, -88.29829083650)"
Quercus bicolor,"oak, swamp white",8,1,Street,"(40.10606095780, -88.29805689120)"
vacant site large,"vacant site, large",0,0,Street,"(40.12126251740, -88.23072092250)"
Acer saccharinum,"maple, silver",9,1,Street,"(40.10809836020, -88.29754381530)"
Acer saccharinum,"maple, silver",13,1,Street,"(40.10821884400, -88.29754650490)"
Quercus rubra,"oak, northern red",13,1,Street,"(40.10834566730, -88.29754368570)"
Quercus rubra,"oak, northern red",11,1,Street,"(40.10845769360, -88.29753812130)"
Aesculus glabra,"buckeye, Ohio",10,1,Street,"(40.10861619380, -88.29752977970)"
vacant site large,"vacant site, large",0,0,Street,"(40.12126270660, -88.23093475340)"
Cotinus coggygria,"smoketree, American",2,1,Street,"(40.09166382130, -88.25353518630)"
Fraxinus pennsylvanica,"ash, green",20,1,Street,"(40.10899457290, -88.29759564970)"
Platanus occidentalis,"sycamore, American",30,1,Street,"(40.11083585610, -88.29468831270)"
Prunus spp.,"cherry/plum, spp.",4,1,Street,"(40.11086238610, -88.29415272850)"
Quercus muehlenbergii,"oak, chinkapin",4,1,Street,"(40.11192198080, -88.27265179530)"
vacant site large,"vacant site, large",0,0,Street,"(40.12125994050, -88.23122185630)"
vacant site large,"vacant site, large",0,0,Street,"(40.12126116350, -88.23145728330)"
Ginkgo biloba,ginkgo,2,1,Street,"(40.10534175130, -88.26912974950)"
Acer saccharinum,"maple, silver",15,1,Street,"(40.11109313980, -88.29287448350)"
Acer saccharinum,"maple, silver",35,1,Street,"(40.11108138020, -88.29323891460)"
Platanus occidentalis,"sycamore, American",34,1,Street,"(40.11099242850, -88.29433488360)"
Quercus macrocarpa,"oak, bur",4,1,Street,"(40.11097862670, -88.29459852930)"
Eucommia ulmoides,hardy rubbertree,5,1,Street,"(40.11092721960, -88.29512068520)"
Acer saccharinum,"maple, silver",38,1,Street,"(40.10927532590, -88.29366420180)"
Acer platanoides,"maple, Norway",20,1,Street,"(40.10934453540, -88.28702185710)"
vacant site large,"vacant site, large",0,0,Street,"(40.12125729030, -88.23164169160)"
Ulmus rubra,"elm, slippery",9,3,Street,"(40.10935700950, -88.28718780700)"
Ulmus pumila,"elm, Siberian",8,4,Street,"(40.10936058100, -88.28726388380)"
Acer saccharinum,"maple, silver",12,1,Street,"(40.11027230910, -88.28780498260)"
Picea abies,"spruce, Norway",17,1,Street,"(40.10938405440, -88.28917360620)"
Picea abies,"spruce, Norway",21,1,Street,"(40.10938817150, -88.28924439160)"
Acer platanoides,"maple, Norway",26,1,Street,"(40.10939911140, -88.28942671720)"
Tilia cordata,"linden, littleleaf",18,1,Street,"(40.10732866580, -88.29625902640)"
Acer saccharinum,"maple, silver",18,2,Street,"(40.10792425800, -88.29621276330)"
Quercus bicolor,"oak, swamp white",12,1,Street,"(40.10938315350, -88.29042852050)"
Quercus bicolor,"oak, swamp white",12,1,Street,"(40.10938458100, -88.29057721010)"
Acer rubrum,"maple, red",12,1,Street,"(40.10939016330, -88.29097723020)"
Acer rubrum,"maple, red",11,1,Street,"(40.10939158300, -88.29110643530)"
Tilia americana,"linden, American",15,1,Street,"(40.10965796820, -88.29118059830)"
Juniperus virginiana,"redcedar, eastern",13,1,Street,"(40.10943459300, -88.29365163190)"
vacant site large,"vacant site, large",0,0,Street,"(40.12181755750, -88.23219607150)"
vacant site large,"vacant site, large",0,0,Street,"(40.12155951230, -88.23218991020)"
Acer saccharinum,"maple, silver",29,1,Street,"(40.10823430310, -88.29590928410)"
Acer saccharinum,"maple, silver",24,1,Street,"(40.10823433660, -88.29601310470)"
Acer rubrum,"maple, red",24,1,Street,"(40.10790690060, -88.29635842130)"
Acer rubrum,"maple, red",19,1,Street,"(40.10785219050, -88.29635845090)"
Cornus florida,"dogwood, flowering",7,1,Street,"(40.10708612380, -88.29639550970)"
vacant site large,"vacant site, large",0,0,Street,"(40.12137575410, -88.23218889520)"
vacant site large,"vacant site, large",0,0,Street,"(40.12125304670, -88.23310329460)"
vacant site large,"vacant site, large",0,0,Street,"(40.12304953170, -88.23072771200)"
Acer saccharinum,"maple, silver",27,1,Street,"(40.10599617650, -88.29579682640)"
Acer saccharinum,"maple, silver",13,2,Street,"(40.10598393030, -88.29570316890)"
Acer saccharinum,"maple, silver",24,1,Street,"(40.10667334930, -88.29624876440)"
Cercis canadensis,"redbud, eastern",4,2,Street,"(40.10712107760, -88.29625030870)"
vacant site large,"vacant site, large",0,0,Street,"(40.12293742530, -88.23054608380)"
vacant site large,"vacant site, large",0,0,Street,"(40.12280088510, -88.23054757680)"
Acer rubrum,"maple, red",18,3,Street,"(40.10789008690, -88.29358206480)"
Fraxinus americana,"ash, white",18,1,Street,"(40.10655528900, -88.29338092560)"
Acer saccharinum,"maple, silver",22,1,Street,"(40.10742499010, -88.29625368300)"
Quercus muehlenbergii,"oak, chinkapin",4,1,Street,"(40.10763934850, -88.29623057900)"
Acer saccharinum,"maple, silver",22,1,Street,"(40.10805044400, -88.29619149450)"
Liquidambar styraciflua,"sweetgum, American",21,1,Street,"(40.10812090470, -88.29591581720)"
Liquidambar styraciflua,"sweetgum, American",16,1,Street,"(40.10811539840, -88.29569670320)"
stump,stump,21,1,Street,"(40.10807842730, -88.29487799400)"
Acer saccharinum,"maple, silver",10,1,Street,"(40.10750231540, -88.29623948380)"
Liquidambar styraciflua,"sweetgum, American",18,1,Street,"(40.10783712170, -88.29152117510)"
Acer saccharum,"maple, sugar",11,1,Street,"(40.10809183520, -88.29458386440)"
Fraxinus pennsylvanica,"ash, green",15,1,Street,"(40.10801510560, -88.29449063410)"
Magnolia x soulangiana,"magnolia, saucer",11,2,Street,"(40.10771514500, -88.29448422660)"
Fraxinus pennsylvanica,"ash, green",30,1,Street,"(40.10708988940, -88.29448018500)"
Picea pungens,"spruce, Colorado",14,1,Street,"(40.10680846200, -88.29448474240)"
Fraxinus pennsylvanica,"ash, green",8,1,Street,"(40.10612752900, -88.29429858720)"
vacant site large,"vacant site, large",0,0,Street,"(40.12220822420, -88.23142543950)"
Quercus muehlenbergii,"oak, chinkapin",3,1,Street,"(40.10814251700, -88.27110921530)"
Acer rubrum,"maple, red",24,1,Street,"(40.10617642100, -88.29430292080)"
Acer saccharinum,"maple, silver",23,1,Street,"(40.10652359090, -88.29428956640)"
Quercus palustris,"oak, pin",25,1,Street,"(40.10807057420, -88.29405383480)"
vacant site large,"vacant site, large",0,0,Street,"(40.12294590250, -88.23219279040)"
vacant site large,"vacant site, large",0,0,Street,"(40.12281435610, -88.23219166230)"
vacant site large,"vacant site, large",0,0,Street,"(40.12268786190, -88.23219184980)"
vacant site large,"vacant site, large",0,0,Street,"(40.12253825500, -88.23219339450)"
Liriodendron tulipifera,tuliptree,21,1,Street,"(40.10681152410, -88.29355856120)"
Metasequoia glyptostroboides,dawn redwood,14,1,Street,"(40.10623172490, -88.29338769280)"
Metasequoia glyptostroboides,dawn redwood,10,1,Street,"(40.10629406640, -88.29338765640)"
vacant site large,"vacant site, large",0,0,Street,"(40.12233643400, -88.23219237050)"
Quercus macrocarpa,"oak, bur",2,1,Street,"(40.10468234200, -88.27031916810)"
Acer campestre,"maple, hedge",3,1,Street,"(40.09994607160, -88.27120747850)"
Fagus sylvatica,"beech, European",3,1,Street,"(40.09977071970, -88.26930313740)"
Tilia cordata,"linden, littleleaf",18,1,Street,"(40.10593694610, -88.29320414750)"
Acer saccharinum,"maple, silver",36,1,Street,"(40.10640698820, -88.29335248390)"
Juglans nigra,"walnut, black",27,1,Street,"(40.10663785220, -88.29335234870)"
Quercus bicolor,"oak, swamp white",12,1,Street,"(40.10682156640, -88.29338516700)"
Cornus florida,"dogwood, flowering",4,1,Street,"(40.10709121650, -88.29337843130)"
Quercus bicolor,"oak, swamp white",12,1,Street,"(40.10789845170, -88.29339987420)"
Betula nigra,"birch, river",11,3,Street,"(40.10801810200, -88.29337349160)"
Quercus macrocarpa,"oak, bur",3,1,Street,"(40.10033114080, -88.27117842360)"
Ginkgo biloba,ginkgo,18,1,Street,"(40.10573981570, -88.29163896710)"
Ulmus pumila,"elm, Siberian",1,1,Street,"(40.10807371040, -88.29335150810)"
Ulmus pumila,"elm, Siberian",1,1,Street,"(40.10807538110, -88.29334053160)"
Fraxinus pennsylvanica,"ash, green",21,1,Street,"(40.10804830080, -88.29298496990)"
Acer saccharum,"maple, sugar",17,1,Street,"(40.10734032190, -88.29247401390)"
Picea abies,"spruce, Norway",5,1,Street,"(40.08425596150, -88.24958942270)"
Picea glauca,"spruce, white",4,1,Street,"(40.08520237960, -88.24956456820)"
vacant site large,"vacant site, large",0,0,Street,"(40.12220499610, -88.23231550200)"
Juniperus spp.,"juniper, spp.",3,1,Street,"(40.09337091310, -88.25557087230)"
Pinus strobus,"pine, eastern white",21,2,Street,"(40.10804793530, -88.29194901900)"
Quercus rubra,"oak, northern red",13,1,Street,"(40.10719510020, -88.29168837940)"
Liquidambar styraciflua,"sweetgum, American",25,1,Street,"(40.10650584030, -88.29171732820)"
Ginkgo biloba,ginkgo,23,1,Street,"(40.10643505170, -88.29173932180)"
Liquidambar styraciflua,"sweetgum, American",27,1,Street,"(40.10683270800, -88.29150863400)"
vacant site large,"vacant site, large",0,0,Street,"(40.12220112300, -88.23307086420)"
vacant site large,"vacant site, large",0,0,Street,"(40.12220228580, -88.23324089280)"
Acer saccharinum,"maple, silver",3,1,Street,"(40.11187072280, -88.26972297080)"
Tilia cordata,"linden, littleleaf",16,1,Street,"(40.10720347310, -88.29153693570)"
Betula nigra,"birch, river",11,2,Street,"(40.10742928050, -88.29152142480)"
Magnolia x soulangiana,"magnolia, saucer",6,3,Street,"(40.10757760600, -88.29154110410)"
Acer saccharinum,"maple, silver",28,1,Street,"(40.10803259850, -88.29143764880)"
vacant site large,"vacant site, large",0,0,Street,"(40.12219842480, -88.23341092880)"
vacant site large,"vacant site, large",0,0,Street,"(40.12208752750, -88.23290883210)"
Acer saccharum,"maple, sugar",2,1,Street,"(40.11063970710, -88.27439610300)"
Liquidambar styraciflua,"sweetgum, American",18,1,Street,"(40.10277077870, -88.29087169610)"
Tilia cordata,"linden, littleleaf",16,1,Street,"(40.10757899440, -88.29075534160)"
Quercus rubra,"oak, northern red",23,1,Street,"(40.10737846310, -88.29075328590)"
Platanus occidentalis,"sycamore, American",34,1,Street,"(40.10642460210, -88.29078240900)"
Acer saccharinum,"maple, silver",29,1,Street,"(40.10622068460, -88.29082861770)"
Acer saccharum,"maple, sugar",10,1,Street,"(40.10646667660, -88.29061117620)"
vacant site large,"vacant site, large",0,0,Street,"(40.12209238750, -88.23272048680)"
vacant site large,"vacant site, large",0,0,Street,"(40.12209426070, -88.23257008520)"
vacant site large,"vacant site, large",0,0,Street,"(40.12209457370, -88.23176566920)"
Acer saccharinum,"maple, silver",28,1,Street,"(40.10765140390, -88.29058851990)"
Acer saccharinum,"maple, silver",25,1,Street,"(40.10770534530, -88.29058848610)"
Acer saccharinum,"maple, silver",25,1,Street,"(40.10786881910, -88.29059496200)"
Liquidambar styraciflua,"sweetgum, American",23,1,Street,"(40.10802887680, -88.29049390150)"
stump,stump,23,1,Street,"(40.10802542870, -88.29030074210)"
vacant site large,"vacant site, large",0,0,Street,"(40.12210426160, -88.23024060500)"
vacant site large,"vacant site, large",0,0,Street,"(40.12272442490, -88.23038288100)"
vacant site large,"vacant site, large",0,0,Street,"(40.12285695840, -88.23038268110)"
Acer rubrum,"maple, red",11,1,Street,"(40.10753485220, -88.28986650350)"
Quercus palustris,"oak, pin",30,1,Street,"(40.10680175860, -88.28983622490)"
Malus spp.,"crabapple, flowering",11,1,Street,"(40.10638549220, -88.28984306800)"
Acer saccharinum,"maple, silver",29,1,Street,"(40.10631127820, -88.28966096960)"
Acer saccharinum,"maple, silver",30,1,Street,"(40.10642418300, -88.28965650010)"
vacant site large,"vacant site, large",0,0,Street,"(40.12297845770, -88.23038382090)"
vacant site large,"vacant site, large",0,0,Street,"(40.12305464470, -88.23024113620)"
vacant site large,"vacant site, large",0,0,Street,"(40.12305405250, -88.22957799280)"
Picea abies,"spruce, Norway",14,1,Street,"(40.10801668170, -88.28944916380)"
Acer saccharinum,"maple, silver",44,1,Street,"(40.10764669340, -88.28893949080)"
Acer saccharinum,"maple, silver",24,1,Street,"(40.10757174980, -88.28893439140)"
Acer saccharinum,"maple, silver",15,1,Street,"(40.10708204580, -88.28892530750)"
Acer saccharinum,"maple, silver",23,1,Street,"(40.10669418430, -88.28891358340)"
vacant site large,"vacant site, large",0,0,Street,"(40.12316897200, -88.23011083760)"
vacant site large,"vacant site, large",0,0,Street,"(40.12316852600, -88.23072098930)"
Juniperus spp.,"juniper, spp.",14,1,Street,"(40.10730726140, -88.28966473000)"
Acer saccharinum,"maple, silver",41,1,Street,"(40.10660348710, -88.28891703860)"
Magnolia x soulangiana,"magnolia, saucer",12,3,Street,"(40.10648777270, -88.28889659340)"
Quercus palustris,"oak, pin",27,1,Street,"(40.10755658630, -88.28876404990)"
Acer saccharum,"maple, sugar",20,1,Street,"(40.10817200550, -88.28917456880)"
Liquidambar styraciflua,"sweetgum, American",10,1,Street,"(40.10816181730, -88.28930874840)"
Fraxinus pennsylvanica,"ash, green",26,1,Street,"(40.10817904780, -88.28979369790)"
Ginkgo biloba,ginkgo,5,1,Street,"(40.08820293180, -88.25525791310)"
Acer saccharum,"maple, sugar",2,1,Street,"(40.11048043150, -88.27438780300)"
Acer saccharinum,"maple, silver",25,1,Street,"(40.10818089760, -88.29004170060)"
Crataegus spp.,"hawthorn, spp.",6,3,Street,"(40.10817923920, -88.29030575760)"
Quercus palustris,"oak, pin",29,1,Street,"(40.10816428020, -88.29038499090)"
Acer saccharinum,"maple, silver",24,1,Street,"(40.10818558830, -88.29077305330)"
Acer rubrum,"maple, red",12,1,Street,"(40.10817336970, -88.29114047270)"
Quercus rubra,"oak, northern red",19,1,Street,"(40.10817164960, -88.29124150570)"
Picea pungens,"spruce, Colorado",9,1,Street,"(40.10819109340, -88.29134023770)"
Picea pungens,"spruce, Colorado",17,1,Street,"(40.10819289180, -88.29145503270)"
Pinus strobus,"pine, eastern white",21,1,Street,"(40.10820559110, -88.29242405280)"
Liquidambar styraciflua,"sweetgum, American",23,1,Street,"(40.10819857990, -88.29254804100)"
Platanus occidentalis,"sycamore, American",24,1,Street,"(40.10820923650, -88.29279832670)"
Quercus alba,"oak, white",26,1,Street,"(40.10818811660, -88.29292693510)"
Acer saccharinum,"maple, silver",24,1,Street,"(40.10818465240, -88.29306929720)"
Quercus palustris,"oak, pin",32,1,Street,"(40.10819200980, -88.29394876460)"
vacant site large,"vacant site, large",0,0,Street,"(40.12316868110, -88.23089624250)"
Acer rubrum,"maple, red",3,1,Street,"(40.11080948580, -88.27138547380)"
Acer saccharinum,"maple, silver",38,1,Street,"(40.10822046800, -88.29473866430)"
Acer platanoides,"maple, Norway",25,1,Street,"(40.10901055530, -88.29528703610)"
Acer saccharinum,"maple, silver",25,1,Street,"(40.10918694220, -88.29549586910)"
Acer saccharinum,"maple, silver",17,2,Street,"(40.10907233390, -88.29549593260)"
Acer saccharinum,"maple, silver",17,1,Street,"(40.10896653650, -88.29549370310)"
Acer saccharinum,"maple, silver",21,1,Street,"(40.10885898530, -88.29550066270)"
Acer saccharinum,"maple, silver",27,1,Street,"(40.10875142890, -88.29549153420)"
Acer saccharinum,"maple, silver",21,1,Street,"(40.10864387610, -88.29549388190)"
Acer platanoides,"maple, Norway",14,1,Street,"(40.10755776450, -88.29546924380)"
Fraxinus pennsylvanica,"ash, green",16,1,Street,"(40.10592735010, -88.29461004580)"
Quercus rubra,"oak, northern red",37,1,Street,"(40.10567364790, -88.29444956680)"
vacant site large,"vacant site, large",0,0,Street,"(40.12316558700, -88.23137169510)"
vacant site large,"vacant site, large",0,0,Street,"(40.12316880670, -88.23159929450)"
vacant site large,"vacant site, large",0,0,Street,"(40.12316394500, -88.23178370950)"
vacant site large,"vacant site, large",0,0,Street,"(40.12446159310, -88.23220295290)"
Cercis canadensis,"redbud, eastern",2,4,Street,"(40.11162581010, -88.27028633940)"
Platanus occidentalis,"sycamore, American",24,1,Street,"(40.10429889680, -88.29445478240)"
Platanus occidentalis,"sycamore, American",33,1,Street,"(40.10389396210, -88.29444614720)"
Platanus x acerifolia,"planetree, London",26,1,Street,"(40.10360805530, -88.29427350180)"
Gleditsia triacanthos inermis,"honeylocust, thornless",34,1,Street,"(40.10367100220, -88.29427789860)"
vacant site large,"vacant site, large",0,0,Street,"(40.12401175010, -88.23219968590)"
vacant site large,"vacant site, large",0,0,Street,"(40.12385110460, -88.23219731350)"
Cercis canadensis,"redbud, eastern",3,1,Street,"(40.11156052770, -88.27027949940)"
Pyrus calleryana,"pear, Callery",3,1,Street,"(40.11174001710, -88.26940378490)"
Gleditsia triacanthos inermis,"honeylocust, thornless",28,1,Street,"(40.10424098860, -88.29425097560)"
Platanus occidentalis,"sycamore, American",28,1,Street,"(40.10441964140, -88.29425308980)"
Prunus spp.,"cherry/plum, spp.",10,3,Street,"(40.10449960730, -88.29425526050)"
Acer saccharinum,"maple, silver",32,1,Street,"(40.10561915190, -88.29427013520)"
vacant site large,"vacant site, large",0,0,Street,"(40.12373361430, -88.23219748760)"
vacant site large,"vacant site, large",0,0,Street,"(40.12315829220, -88.23336375240)"
vacant site large,"vacant site, large",0,0,Street,"(40.12316042810, -88.23351676080)"
vacant site large,"vacant site, large",0,0,Street,"(40.12303984860, -88.23340447620)"
Acer saccharinum,"maple, silver",25,1,Street,"(40.10570762770, -88.29427230100)"
Acer saccharinum,"maple, silver",26,1,Street,"(40.10594403820, -88.29403285730)"
Quercus robur,"oak, English",41,1,Street,"(40.10594054220, -88.29376252000)"
Fraxinus pennsylvanica,"ash, green",13,2,Street,"(40.10593881220, -88.29368054700)"
Ginkgo biloba,ginkgo,16,1,Street,"(40.10549042150, -88.29163704590)"
Ginkgo biloba,ginkgo,16,1,Street,"(40.10565087480, -88.29164109490)"
vacant site large,"vacant site, large",0,0,Street,"(40.12304240520, -88.23290088330)"
Liquidambar styraciflua,"sweetgum, American",18,1,Street,"(40.10388501660, -88.29071145730)"
Acer rubrum,"maple, red",12,1,Street,"(40.10582559680, -88.29162858310)"
Acer saccharinum,"maple, silver",32,1,Street,"(40.10596117860, -88.29125087610)"
Gleditsia triacanthos inermis,"honeylocust, thornless",20,1,Street,"(40.10595680270, -88.28739248370)"
Quercus rubra,"oak, northern red",14,1,Street,"(40.10608862230, -88.28636415980)"
vacant site large,"vacant site, large",0,0,Street,"(40.12303924160, -88.23270339300)"
vacant site large,"vacant site, large",0,0,Street,"(40.12304805110, -88.23244831350)"
vacant site large,"vacant site, large",0,0,Street,"(40.12605309290, -88.24317026010)"
Picea abies,"spruce, Norway",18,1,Street,"(40.09931558500, -88.28804728170)"
Quercus rubra,"oak, northern red",16,1,Street,"(40.10585903990, -88.28607306520)"
Quercus robur,"oak, English",34,1,Street,"(40.10571511370, -88.28607316480)"
Acer rubrum,"maple, red",14,1,Street,"(40.10543118360, -88.28606578240)"
Quercus rubra,"oak, northern red",20,1,Street,"(40.10531067090, -88.28619502830)"
Fraxinus pennsylvanica,"ash, green",21,1,Street,"(40.10531267240, -88.28632418940)"
Pinus strobus,"pine, eastern white",21,1,Street,"(40.10533307790, -88.28870730100)"
Acer platanoides,"maple, Norway",19,1,Street,"(40.10526016340, -88.29133867940)"
vacant site large,"vacant site, large",0,0,Street,"(40.12604820010, -88.24333833960)"
Liriodendron tulipifera,tuliptree,21,1,Street,"(40.10525816380, -88.29119940120)"
Acer rubrum,"maple, red",25,1,Street,"(40.10475046010, -88.29083754040)"
Liquidambar styraciflua,"sweetgum, American",23,1,Street,"(40.10467656260, -88.29084012460)"
Quercus imbricaria,"oak, shingle",11,1,Street,"(40.10430122420, -88.29084289630)"
Acer saccharinum,"maple, silver",23,1,Street,"(40.10397453110, -88.29085071400)"
Acer saccharinum,"maple, silver",32,1,Street,"(40.10369060580, -88.29085593120)"
Liquidambar styraciflua,"sweetgum, American",20,1,Street,"(40.10302747150, -88.29086395790)"
Liquidambar styraciflua,"sweetgum, American",24,1,Street,"(40.10292634430, -88.29087159940)"
Quercus rubra,"oak, northern red",22,1,Street,"(40.10271626630, -88.29073753200)"
Quercus lyrata,"oak, overcup",30,1,Street,"(40.10422535110, -88.29069858980)"
vacant site large,"vacant site, large",0,0,Street,"(40.12596074900, -88.23974623720)"
vacant site large,"vacant site, large",0,0,Street,"(40.12596144730, -88.23928664640)"
vacant site large,"vacant site, large",0,0,Street,"(40.12596563170, -88.23909854200)"
vacant site large,"vacant site, large",0,0,Street,"(40.12634960450, -88.24003278830)"
Picea abies,"spruce, Norway",18,1,Street,"(40.09931557560, -88.28802304580)"
